law_id	group	law	article	has_annex	text
OSH-01	OSH	職業安全衛生法	第27-1條		事業單位將符合第十五條之一第一項所定一定規模以上之工程交付二個以上施工者施工時，應指定施工者之一負整體工程安全衛生統合管理責任。 ／ 前項經指定之施工者，應執行整體工程安全衛生統合管理事項。 ／ 前二項施工者之指定、整體工程安全衛生統合管理及其他相關事項之辦法，由中央主管機關定之。
OSH-01	OSH	職業安全衛生法	第28條		二個以上之事業單位分別出資共同承攬工程時，應互推一人為代表人；該代表人視為該工程之事業雇主，負本法雇主防止職業災害之責任。
OSH-01	OSH	職業安全衛生法	第29條		雇主不得使未滿十八歲者從事下列危險性或有害性工作： ／ 一、坑內工作。 ／ 二、處理爆炸性、易燃性等物質之工作。 ／ 三、鉛、汞、鉻、砷、黃磷、氯氣、氰化氫、苯胺等有害物散布場所之工作。 ／ 四、有害輻射散布場所之工作。 ／ 五、有害粉塵散布場所之工作。 ／ 六、運轉中機器或動力傳導裝置危險部分之掃除、上油、檢查、修理或上卸皮帶、繩索等工作。 ／ 七、超過二百二十伏特電力線之銜接。 ／ 八、已熔礦物或礦渣之處理。 ／ 九、鍋爐之燒火及操作。 ／ 十、鑿岩機及其他有顯著振動之工作。 ／ 十一、一定重量以上之重物處理工作。 ／ 十二、起重機、人字臂起重桿之運轉工作。 ／ 十三、動力捲揚機、動力運搬機及索道之運轉工作。 ／ 十四、橡膠化合物及合成樹脂之滾輾工作。 ／ 十五、其他經中央主管機關規定之危險性或有害性之工作。 ／ 前項危險性或有害性工作之認定標準，由中央主管機關定之。 ／ 未滿十八歲者從事第一項以外之工作，經第二十條或第二十二條之醫師評估結果，不能適應原有工作者，雇主應參採醫師之建議，變更其作業場所、更換工作或縮短工作時間，並採取健康管理措施。
OSH-01	OSH	職業安全衛生法	第30條		雇主不得使妊娠中之女性勞工從事下列危險性或有害性工作： ／ 一、礦坑工作。 ／ 二、鉛及其化合物散布場所之工作。 ／ 三、異常氣壓之工作。 ／ 四、處理或暴露於弓形蟲、德國麻疹等影響胎兒健康之工作。 ／ 五、處理或暴露於二硫化碳、三氯乙烯、環氧乙烷、丙烯醯胺、次乙亞胺、砷及其化合物、汞及其無機化合物等經中央主管機關規定之危害性化學品之工作。 ／ 六、鑿岩機及其他有顯著振動之工作。 ／ 七、一定重量以上之重物處理工作。 ／ 八、有害輻射散布場所之工作。 ／ 九、已熔礦物或礦渣之處理工作。 ／ 十、起重機、人字臂起重桿之運轉工作。 ／ 十一、動力捲揚機、動力運搬機及索道之運轉工作。 ／ 十二、橡膠化合物及合成樹脂之滾輾工作。 ／ 十三、處理或暴露於經中央主管機關規定具有致病或致死之微生物感染風險之工作。 ／ 十四、其他經中央主管機關規定之危險性或有害性之工作。 ／ 雇主不得使分娩後未滿一年之女性勞工從事下列危險性或有害性工作： ／ 一、礦坑工作。 ／ 二、鉛及其化合物散布場所之工作。 ／ 三、鑿岩機及其他有顯著振動之工作。 ／ 四、一定重量以上之重物處理工作。 ／ 五、其他經中央主管機關規定之危險性或有害性之工作。 ／ 第一項第五款至第十四款及前項第三款至第五款所定之工作，雇主依第三十一條採取母性健康保護措施，經當事人書面同意者，不在此限。 ／ 第一項及第二項危險性或有害性工作之認定標準，由中央主管機關定之。 ／ 雇主未經當事人告知妊娠或分娩事實而違反第一項或第二項規定者，得免予處罰。但雇主明知或可得而知者，不在此限。
OSH-01	OSH	職業安全衛生法	第31條		中央主管機關指定之事業，雇主應對有母性健康危害之虞之工作，採取危害評估、控制及分級管理措施；對於妊娠中或分娩後未滿一年之女性勞工，應依醫師適性評估建議，採取工作調整或更換等健康保護措施，並留存紀錄。 ／ 前項勞工於保護期間，因工作條件、作業程序變更、當事人健康異常或有不適反應，經醫師評估確認不適原有工作者，雇主應依前項規定重新辦理之。 ／ 第一項事業之指定、有母性健康危害之虞之工作項目、危害評估程序與控制、分級管理方法、適性評估原則、工作調整或更換、醫師資格與評估報告之文件格式、紀錄保存及其他應遵行事項之辦法，由中央主管機關定之。 ／ 雇主未經當事人告知妊娠或分娩事實而違反第一項或第二項規定者，得免予處罰。但雇主明知或可得而知者，不在此限。
OSH-01	OSH	職業安全衛生法	第32條		雇主對勞工應施以從事工作及預防災變所必要之安全衛生教育訓練。 ／ 前項安全衛生教育訓練，應由雇主自行辦理或交由中央主管機關認可之機關（構）、學校、團體等訓練單位辦理。 ／ 前二項之安全衛生教育訓練、訓練單位之資格條件與管理、查核、認可、評鑑及其他應遵行事項之規則，由中央主管機關定之。 ／ 勞工對於第一項之安全衛生教育訓練，有接受之義務。
OSH-01	OSH	職業安全衛生法	第33條		雇主應負責宣導本法及有關安全衛生之規定，使勞工周知。
OSH-01	OSH	職業安全衛生法	第34條		雇主應依本法及有關規定會同勞工代表訂定適合其需要之安全衛生工作守則，報經勞動檢查機構備查後，公告實施。 ／ 勞工對於前項安全衛生工作守則，應切實遵行。
OSH-01	OSH	職業安全衛生法	第35條		中央主管機關得聘請勞方、資方、政府機關代表、學者專家及職業災害勞工團體，召開職業安全衛生諮詢會，研議國家職業安全衛生政策，並提出建議；其成員之任一性別不得少於三分之一。
OSH-01	OSH	職業安全衛生法	第36條		中央主管機關及勞動檢查機構對於各事業單位勞動場所得實施檢查。其有不合規定者，應告知違反法令條款，並通知限期改善；屆期未改善或已發生職業災害，或有發生職業災害之虞時，得通知其部分或全部停工。勞工於停工期間應由雇主照給工資。 ／ 事業單位對於前項之改善，於必要時，得請中央主管機關協助或洽請認可之顧問服務機構提供專業技術輔導。 ／ 前項顧問服務機構之種類、條件、服務範圍、顧問人員之資格與職責、認可程序、撤銷、廢止、管理及其他應遵行事項之規則，由中央主管機關定之。
